name,specialty,street_address,city,state,zip,rating,num_reviews,next_appt,num_appts_next_5days,sponsored,education,languages,gender,npi,insurance
"Dr. Igor Kletsman, MD",Primary Care Doctor,"23 W 45th Street, 2nd Floor",New York,NY,10036,4.7,3249,12/14/21 8:30,3,FALSE,"['Medical School - Saba University School of MedicineJersey Shore University Medical Center, Residency in Internal Medicine']","['English', 'Russian', 'Polish', 'Ukrainian']",Male,1447297858,"['1199SEIU', 'Aetna', 'Anthem Blue Cross', 'Anthem Blue Cross Blue Shield', 'Arkansas Blue Cross Blue Shield', 'Blue Choice Health Plan', 'Blue Cross Blue Shield', 'Blue Cross Blue Shield Federal Employee Program', 'Blue Cross Blue Shield of Alabama', 'Blue Cross Blue Shield of Arizona', 'Blue Cross Blue Shield of Georgia', 'Blue Cross Blue Shield of Illinois', 'Blue Cross Blue Shield of Kansas', 'Blue Cross Blue Shield of Kansas City', 'Blue Cross Blue Shield of Louisiana', 'Blue Cross Blue Shield of Massachusetts ', 'Blue Cross Blue Shield of Michigan', 'Blue Cross Blue Shield of Minnesota', 'Blue Cross Blue Shield of Mississippi', 'Blue Cross Blue Shield of Montana', 'Blue Cross Blue Shield of Nebraska', 'Blue Cross Blue Shield of New Mexico', 'Blue Cross Blue Shield of North Carolina', 'Blue Cross Blue Shield of North Dakota', 'Blue Cross Blue Shield of Oklahoma', 'Blue Cross Blue Shield of Rhode Island', 'Blue Cross Blue Shield of South Carolina', 'Blue Cross Blue Shield of Tennessee', 'Blue Cross Blue Shield of Texas', 'Blue Cross Blue Shield of Vermont', 'Blue Cross Blue Shield of Western New York', 'Blue Cross Blue Shield of Wyoming', 'Blue Cross of Idaho', 'Blue Cross of Northeastern Pennsylvania', 'Blue Shield of California', 'Blue Shield of Northeastern New York', 'CBA Blue', 'Capital Blue Cross', 'CareFirst Blue Cross Blue Shield  (Health)', 'Caterpillar', 'Cigna', 'EmblemHealth', 'EmblemHealth (formerly known as GHI)', 'Empire Blue Cross Blue Shield (Health)', 'Empire BlueCross BlueShield HealthPlus', 'Empire Plan', 'Excellus Blue Cross Blue Shield', 'Florida Blue: Blue Cross Blue Shield of Florida', 'GeoBlue', 'Highmark Blue Cross Blue Shield', 'Highmark Blue Cross Blue Shield of Delaware', 'Highmark Blue Shield', 'Horizon Blue Cross Blue Shield of New Jersey', 'Humana', 'Independence Blue Cross', 'Meritain Health', 'MetroPlus Health Plan', 'Nippon Life Benefits', 'Oscar Health Insurance Co.', 'Oxford (UnitedHealthcare)', 'Premera Blue Cross', 'Regence Blue Cross Blue Shield', 'Triple-S Salud: Blue Cross Blue Shield of Puerto Rico', 'UnitedHealthOne', 'UnitedHealthcare', 'UnitedHealthcare Oxford', 'Wellmark Blue Cross Blue Shield']"
"Dr. Mukund Das, MD",Primary Care Doctor,"548 W 28th St, Ste 333",New York,NY,10001,4.43,21,12/14/21 8:15,3,FALSE,"[""Medical School - St. George's University School of Medicine, Doctor of Medicine""]",['English'],Male,1831552397,"['Aetna', 'Caterpillar', 'Cigna', 'Cigna-HealthSpring', 'Consolidated Health Plans', 'Empire Blue Cross Blue Shield (Health)', 'GWH-Cigna (formerly Great West Healthcare)', 'Oscar Health Insurance Co.', 'Oxford (UnitedHealthcare)', 'UnitedHealthOne', 'UnitedHealthcare', 'UnitedHealthcare Oxford']"
"Dr. Weymin Hago, MD",Primary Care Doctor,"274 Madison Avenue, Room 1804",New York,NY,10016,4.93,1830,12/28/21 13:30,0,FALSE,"[""Medical School - Ross University School of Medicine, Doctor of MedicineSaint Vincent's Hospital, Manhattan, Residency in Internal Medicine""]","['English', 'Spanish']",Male,1992941314,"['1199SEIU', 'AARP', 'Aetna', 'Anthem Blue Cross', 'Anthem Blue Cross Blue Shield', 'Arkansas Blue Cross Blue Shield', 'Blue Cross Blue Shield', 'Blue Cross Blue Shield Federal Employee Program', 'Blue Cross Blue Shield of Alabama', 'Blue Cross Blue Shield of Arizona', 'Blue Cross Blue Shield of Georgia', 'Blue Cross Blue Shield of Illinois', 'Blue Cross Blue Shield of Kansas', 'Blue Cross Blue Shield of Kansas City', 'Blue Cross Blue Shield of Louisiana', 'Blue Cross Blue Shield of Massachusetts ', 'Blue Cross Blue Shield of Michigan', 'Blue Cross Blue Shield of Minnesota', 'Blue Cross Blue Shield of Nebraska', 'Blue Cross Blue Shield of New Mexico', 'Blue Cross Blue Shield of North Carolina', 'Blue Cross Blue Shield of Rhode Island', 'Blue Cross Blue Shield of South Carolina', 'Blue Cross Blue Shield of Tennessee', 'Blue Cross Blue Shield of Texas', 'Blue Cross Blue Shield of Vermont', 'Blue Cross Blue Shield of Western New York', 'Blue Cross Blue Shield of Wyoming', 'Blue Cross of Idaho', 'Blue Cross of Northeastern Pennsylvania', 'Blue Shield of California', 'Blue Shield of Northeastern New York', 'Bright Health', 'CBA Blue', 'CDPHP', 'Capital Blue Cross', 'CareFirst Blue Cross Blue Shield  (Health)', 'Caterpillar', 'Cigna', 'Empire Blue Cross Blue Shield (Health)', 'Excellus Blue Cross Blue Shield', 'Florida Blue: Blue Cross Blue Shield of Florida', 'GeoBlue', 'Highmark Blue Cross Blue Shield', 'Highmark Blue Cross Blue Shield of Delaware', 'Highmark Blue Shield', 'Horizon Blue Cross Blue Shield of New Jersey', 'Humana', 'Independence Blue Cross', 'MVP Health Care', 'Medicare', 'Oscar Health Insurance Co.', 'Premera Blue Cross', 'Regence Blue Cross Blue Shield', 'Triple-S Salud: Blue Cross Blue Shield of Puerto Rico', 'UnitedHealthOne', 'UnitedHealthcare', 'Wellmark Blue Cross Blue Shield']"
"Dr. Alexis Drullinsky, MD",Primary Care Doctor,"55 E 34th St, 1st Floor",New York,NY,10016,4.76,2391,12/14/21 12:00,3,FALSE,"['Medical School - Sackler School of Medicine, Tel Aviv University, Doctor of MedicineBeth Israel Medical Center, Residency in Internal Medicine']","['English', 'Spanish']",Male,1518930148,"['1199SEIU', 'Aetna', 'AgeWell New York', 'American Republic Insurance Company', 'Caterpillar', 'Cigna', 'Consolidated Health Plans', 'Elderplan', 'EmblemHealth', 'EmblemHealth (formerly known as GHI)', 'EmblemHealth (formerly known as HIP)', 'Empire Blue Cross Blue Shield (Health)', 'Empire Plan', 'HealthFirst (NY)', 'MagnaCare', 'Medicare', 'Memorial Hermann', 'Moda Health', 'Multiplan PHCS', 'New York Hotel Trades Council', 'Oxford (UnitedHealthcare)', 'POMCO', 'Tufts Health Plan', 'US Health Group', 'UnitedHealthOne', 'UnitedHealthcare', 'UnitedHealthcare Oxford']"
"Dr. Jonathan Weinberger, MD",Primary Care Doctor,"145 E 32nd St, Suite 303",New York,NY,10016,4.92,628,12/21/21 14:00,0,FALSE,"['Medical School - Albert Einstein College of Medicine of Yeshiva University, Doctor of MedicineMaimonides Medical Center, Fellowship in Gastroenterology']",['English'],Male,1851735419,"['1199SEIU', 'AARP', 'Aetna', 'Anthem Blue Cross', 'Anthem Blue Cross Blue Shield', 'Arkansas Blue Cross Blue Shield', 'Beech Street', 'Blue Cross Blue Shield', 'Blue Cross Blue Shield of Arizona', 'Blue Cross Blue Shield of Georgia', 'Blue Cross Blue Shield of Illinois', 'Blue Cross Blue Shield of Kansas', 'Blue Cross Blue Shield of Kansas City', 'Blue Cross Blue Shield of Louisiana', 'Blue Cross Blue Shield of Massachusetts ', 'Blue Cross Blue Shield of Michigan', 'Blue Cross Blue Shield of Minnesota', 'Blue Cross Blue Shield of Nebraska', 'Blue Cross Blue Shield of New Mexico', 'Blue Cross Blue Shield of North Carolina', 'Blue Cross Blue Shield of Rhode Island', 'Blue Cross Blue Shield of South Carolina', 'Blue Cross Blue Shield of Texas', 'Blue Cross Blue Shield of Vermont', 'Blue Cross Blue Shield of Wyoming', 'Blue Cross of Idaho', 'Blue Cross of Northeastern Pennsylvania', 'Blue Shield of California', 'Blue Shield of Northeastern New York', 'CBA Blue', 'Capital Blue Cross', 'CareFirst Blue Cross Blue Shield  (Health)', 'Caterpillar', 'Cigna', 'Consolidated Health Plans', 'Elderplan', 'EmblemHealth', 'EmblemHealth (formerly known as GHI)', 'Empire Blue Cross Blue Shield (Health)', 'Empire Plan', 'Fidelis Care (NY)', 'Florida Blue: Blue Cross Blue Shield of Florida', 'GeoBlue', 'Guardian', 'HealthFirst (NY)', 'Highmark Blue Cross Blue Shield', 'Highmark Blue Cross Blue Shield of Delaware', 'Highmark Blue Shield', 'Horizon Blue Cross Blue Shield of New Jersey', 'Independence Blue Cross', 'MagnaCare', 'Medicare', 'Memorial Hermann', 'MetroPlus Health Plan', 'Multiplan PHCS', 'Oxford (UnitedHealthcare)', 'Premera Blue Cross', 'Regence Blue Cross Blue Shield', 'Triple-S Salud: Blue Cross Blue Shield of Puerto Rico', 'UnitedHealthOne', 'UnitedHealthcare', 'UnitedHealthcare Oxford', 'Wellmark Blue Cross Blue Shield']"
"Dr. Aran Degenhardt, MD, CAc",Primary Care Doctor,"30 W 24th St, 2nd Fl",New York,NY,10010,4.81,2164,12/15/21 9:00,0,FALSE,"['Medical School - Tulane University, Doctor of MedicineBeth Israel Medical Center, Residency in Family Medicine']","['English', 'Spanish', 'Japanese', 'Chinese (Mandarin)']",Male,1649260001,"['Aetna', 'American Republic Insurance Company', 'Caterpillar', 'Cigna', 'Consolidated Health Plans', 'Empire Blue Cross Blue Shield (Health)', 'Memorial Hermann', 'Moda Health', 'Multiplan PHCS', 'Oxford (UnitedHealthcare)', 'POMCO', 'Partners Health Plan', 'Tufts Health Plan', 'US Health Group', 'UnitedHealthOne', 'UnitedHealthcare', 'UnitedHealthcare Oxford', 'University Physician Network (UPN)']"
"Dr. Syra Hanif, MD",Primary Care Doctor,492 6th Avenue,New York,NY,10011,4.19,1142,12/14/21 9:00,3,FALSE,"['Medical School - Rawalpindi Medical University, Bachelor of Medicine, Bachelor of SurgeryMedical College of Wisconsin, Residency in Family Medicine']","['English', 'Hindi', 'Urdu']",Female,1003079286,"['1199SEIU', 'Aetna', 'American Republic Insurance Company', 'Caterpillar', 'Cigna', 'Consolidated Health Plans', 'EmblemHealth', 'EmblemHealth (formerly known as GHI)', 'Empire Blue Cross Blue Shield (Health)', 'First Health (Coventry Health Care)', 'Health Net', 'Humana', 'MagnaCare', 'Medicare', 'Oxford (UnitedHealthcare)', 'UnitedHealthOne', 'UnitedHealthcare', 'UnitedHealthcare Oxford']"
"Dr. Liana Dao, MD",Family Physician,"309 West 23rd Street, 2nd Floor",New York,NY,10011,4.96,589,1/12/22 11:15,0,FALSE,"[""Medical School - Ross University School of Medicine,\xa0Doctor of MedicineRutgers, The State University of New Jersey, Saint Mary's Hospital, Residency in Family Medicine""]",['English'],Female,1447283544,"['1199SEIU', 'Aetna', 'American Republic Insurance Company', 'Caterpillar', 'Cigna', 'Consolidated Health Plans', 'Elderplan', 'EmblemHealth', 'EmblemHealth (formerly known as GHI)', 'EmblemHealth (formerly known as HIP)', 'Empire Blue Cross Blue Shield (Health)', 'Empire Plan', 'HealthFirst (NY)', 'MagnaCare', 'Medicare', 'Memorial Hermann', 'Moda Health', 'Multiplan PHCS', 'Oxford (UnitedHealthcare)', 'POMCO', 'Partners Health Plan', 'Tufts Health Plan', 'US Health Group', 'UnitedHealthOne', 'UnitedHealthcare', 'UnitedHealthcare Oxford']"
"Dr. Karthik Karibandi, MD",Primary Care Doctor,"461 Park Ave South, 9th Floor",New York,NY,10016,4.71,757,12/14/21 11:00,3,FALSE,"['Medical School - Albany Medical College, Doctor of MedicineAlbany Medical College, Residency in Family Medicine']",['English'],Male,1366732570,"['AARP', 'Aetna', 'American Republic Insurance Company', 'Anthem Blue Cross', 'Anthem Blue Cross Blue Shield', 'Arkansas Blue Cross Blue Shield', 'Assurant Health', 'Beech Street', 'Blue Cross Blue Shield', 'Blue Cross Blue Shield Federal Employee Program', 'Blue Cross Blue Shield of Alabama', 'Blue Cross Blue Shield of Arizona', 'Blue Cross Blue Shield of Georgia', 'Blue Cross Blue Shield of Illinois', 'Blue Cross Blue Shield of Kansas', 'Blue Cross Blue Shield of Kansas City', 'Blue Cross Blue Shield of Louisiana', 'Blue Cross Blue Shield of Massachusetts ', 'Blue Cross Blue Shield of Michigan', 'Blue Cross Blue Shield of Minnesota', 'Blue Cross Blue Shield of Nebraska', 'Blue Cross Blue Shield of New Mexico', 'Blue Cross Blue Shield of North Carolina', 'Blue Cross Blue Shield of Oklahoma', 'Blue Cross Blue Shield of Rhode Island', 'Blue Cross Blue Shield of South Carolina', 'Blue Cross Blue Shield of Tennessee', 'Blue Cross Blue Shield of Texas', 'Blue Cross Blue Shield of Vermont', 'Blue Cross Blue Shield of Western New York', 'Blue Cross Blue Shield of Wyoming', 'Blue Cross of Idaho', 'Blue Cross of Northeastern Pennsylvania', 'Blue Shield of California', 'Blue Shield of Northeastern New York', 'CBA Blue', 'Capital Blue Cross', 'CareFirst Blue Cross Blue Shield  (Health)', 'Caterpillar', 'Cigna', 'Consolidated Health Plans', 'Coventry Health Care', 'Cox HealthPlans', 'Empire Blue Cross Blue Shield (Health)', 'Excellus Blue Cross Blue Shield', 'Florida Blue: Blue Cross Blue Shield of Florida', 'GEHA', 'Galaxy Health', 'Geisinger Health Plan', 'GeoBlue', 'Highmark Blue Cross Blue Shield', 'Highmark Blue Cross Blue Shield of Delaware', 'Highmark Blue Shield', 'Highmark BlueCross BlueShield of West Virginia', 'Horizon Blue Cross Blue Shield of New Jersey', 'Independence Blue Cross', 'MVP Health Care', 'Medical Mutual', 'Medicare', 'Memorial Hermann', 'Moda Health', 'Multiplan PHCS', 'Oscar Health Insurance Co.', 'Oxford (UnitedHealthcare)', 'POMCO', 'Premera Blue Cross', 'Regence Blue Cross Blue Shield', 'Triple-S Salud: Blue Cross Blue Shield of Puerto Rico', 'Tufts Health Plan', 'US Health Group', 'UnitedHealthOne', 'UnitedHealthcare', 'UnitedHealthcare Oxford', 'Wellmark Blue Cross Blue Shield']"
"Dr. Sandeep Soman, MD",Primary Care Doctor,"309 W 23rd St, 2nd Floor",New York,NY,10011,4.85,679,12/30/21 11:00,0,FALSE,"['Medical School - New York Medical College, Doctor of MedicineMount Sinai Beth Israel, Residency in Internal Medicine']",['English'],Male,1730576299,"['1199SEIU', 'Aetna', 'AgeWell New York', 'American Republic Insurance Company', 'Caterpillar', 'Cigna', 'Consolidated Health Plans', 'Elderplan', 'EmblemHealth', 'EmblemHealth (formerly known as GHI)', 'EmblemHealth (formerly known as HIP)', 'Empire Blue Cross Blue Shield (Health)', 'Empire Plan', 'HealthFirst (NY)', 'MagnaCare', 'Medicare', 'Memorial Hermann', 'Moda Health', 'Multiplan PHCS', 'Oxford (UnitedHealthcare)', 'POMCO', 'Tufts Health Plan', 'US Health Group', 'UnitedHealthOne', 'UnitedHealthcare', 'UnitedHealthcare Oxford']"
